ch_Species Acp_g Bcp_g Ccp_g Dcp_g Ecp_g AcpH_g BcpH_g CcpH_g DcpH_g EcpH_g Tmin Tmed Tmax Amu_g Bmu_g Cmu_g Ak_g Bk_g Ck_g Ad Bd Cd
2,3,3,4-tetramethylpentane -1.3714 0.10274 -4.719e-05 6.7798e-11 4.3299e-12 17.6225 0.061429 -2.4549e-05 4.4557e-09 -3.0473e-13 100 1169.54 5000 0 0 0 0 0 0 0 0 0
2,2,4,4-tetramethylpentane -1.5133 0.10455 -4.6255e-05 -3.6937e-09 5.9725e-12 19.1311 0.060411 -2.464e-05 4.5388e-09 -3.1371e-13 100 1152.2 5000 0 0 0 0 0 0 0 0 0
2,2,5-trimethylhexane -1.5133 0.10455 -4.6255e-05 -3.6937e-09 5.9725e-12 19.1311 0.060411 -2.464e-05 4.5388e-09 -3.1371e-13 100 1152.2 5000 0 0 0 0 0 0 0 0 0
2,2,3-trimethylhexane -1.3714 0.10274 -4.719e-05 6.7798e-11 4.3299e-12 17.6225 0.061429 -2.4549e-05 4.4557e-09 -3.0473e-13 100 1169.54 5000 0 0 0 0 0 0 0 0 0
2,3,5-trimethylhexane -1.3714 0.10274 -4.719e-05 6.7798e-11 4.3299e-12 17.6225 0.061429 -2.4549e-05 4.4557e-09 -3.0473e-13 100 1169.54 5000 0 0 0 0 0 0 0 0 0
3,3,4-trimethylhexane -1.5133 0.10455 -4.6255e-05 -3.6937e-09 5.9725e-12 19.1311 0.060411 -2.464e-05 4.5388e-09 -3.1371e-13 100 1152.2 5000 0 0 0 0 0 0 0 0 0
2,3,4-trimethylhexane -1.3714 0.10274 -4.719e-05 6.7798e-11 4.3299e-12 17.6225 0.061429 -2.4549e-05 4.4557e-09 -3.0473e-13 100 1169.54 5000 0 0 0 0 0 0 0 0 0
2,4,4-trimethylhexane -1.7027 0.10838 -6.5483e-05 1.9743e-08 -2.4085e-12 25.4105 0.050498 -1.9149e-05 3.258e-09 -2.09e-13 100 1873.78 5000 0 0 0 0 0 0 0 0 0
2,3,3-trimethylhexane -1.7027 0.10838 -6.5483e-05 1.9743e-08 -2.4085e-12 25.4105 0.050498 -1.9149e-05 3.258e-09 -2.09e-13 100 1873.78 5000 0 0 0 0 0 0 0 0 0
2,2,4-trimethylhexane -1.7027 0.10838 -6.5483e-05 1.9743e-08 -2.4085e-12 25.4105 0.050498 -1.9149e-05 3.258e-09 -2.09e-13 100 1873.78 5000 0 0 0 0 0 0 0 0 0
3,3-dimethyloctane -1.7027 0.10838 -6.5483e-05 1.9743e-08 -2.4085e-12 25.4105 0.050498 -1.9149e-05 3.258e-09 -2.09e-13 100 1873.78 5000 0 0 0 0 0 0 0 0 0
4,5-dimethyloctane -1.7027 0.10838 -6.5483e-05 1.9743e-08 -2.4085e-12 25.4105 0.050498 -1.9149e-05 3.258e-09 -2.09e-13 100 1873.78 5000 0 0 0 0 0 0 0 0 0
3,6-dimethyloctane -1.5012 0.099932 -2.0983e-05 -3.661e-08 1.8751e-11 21.2314 0.057717 -2.3444e-05 4.4019e-09 -3.1146e-13 100 1055.34 5000 0 0 0 0 0 0 0 0 0
3,5-dimethyloctane -1.34 0.097907 -2.1241e-05 -3.3625e-08 1.7396e-11 19.5405 0.059025 -2.3513e-05 4.3554e-09 -3.0543e-13 100 1052.47 5000 0 0 0 0 0 0 0 0 0
4,4-dimethyloctane -1.34 0.097907 -2.1241e-05 -3.3625e-08 1.7396e-11 19.5405 0.059025 -2.3513e-05 4.3554e-09 -3.0543e-13 100 1052.47 5000 0 0 0 0 0 0 0 0 0
3,4-dimethyloctane -1.5012 0.099932 -2.0983e-05 -3.661e-08 1.8751e-11 21.2314 0.057717 -2.3444e-05 4.4019e-09 -3.1146e-13 100 1055.34 5000 0 0 0 0 0 0 0 0 0
2,6-dimethyloctane -1.4187 0.10116 -3.3606e-05 -1.8693e-08 1.1635e-11 19.1407 0.060024 -2.4243e-05 4.4847e-09 -3.1259e-13 100 1089.79 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyloctane -1.4187 0.10116 -3.3606e-05 -1.8693e-08 1.1635e-11 19.1407 0.060024 -2.4243e-05 4.4847e-09 -3.1259e-13 100 1089.79 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyloctane -1.2627 0.099192 -3.4075e-05 -1.5439e-08 1.0169e-11 17.4734 0.061293 -2.429e-05 4.4329e-09 -3.0613e-13 100 1091.21 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyloctane -1.4187 0.10116 -3.3606e-05 -1.8693e-08 1.1635e-11 19.1407 0.060024 -2.4243e-05 4.4847e-09 -3.1259e-13 100 1089.79 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyloctane -1.2627 0.099192 -3.4075e-05 -1.5439e-08 1.0169e-11 17.4734 0.061293 -2.429e-05 4.4329e-09 -3.0613e-13 100 1091.21 5000 0 0 0 0 0 0 0 0 0
