ch_Species Arho Brho n Acp Bcp Ccp Dcp
2,2,3-trimethylheptane 0.2302 0.244 0.2857 301.506 -0.348 0.0010938 0 
2,5,5-trimethylheptane 0.2298 0.243 0.2857 295.893 -0.356 0.0011144 0 
2,2,4-trimethylheptane 0.2262 0.242 0.2857 290.745 -0.3642 0.0011355 0 
3,3-diethyl-2-methylpentane 0.2344 0.239 0.2857 302.418 -0.2625 0.0009685 0 
3,3-diethylhexane 0.2278 0.236 0.2857 313.202 -0.352 0.0011021 0 
3,4-diethylhexane 0.225 0.235 0.2857 310.903 -0.3651 0.0011362 0 
2,4-dimethyl-3-isopropylpentane 0.2309 0.239 0.2857 286.505 -0.276 0.0010077 0 
3,4-diethylheptane 0.2444 0.2545 0.2857 205.096 0.8952 -0.0024648 3.3134e-06 
3,3-diethylheptane 0.2441 0.2538 0.2857 195.647 0.9304 -0.0024683 3.1735e-06 
4,4-diethylheptane 0.2441 0.2537 0.2857 190.96 0.9664 -0.0025962 3.3515e-06 
3,5-diethylheptane 0.2444 0.2569 0.2857 205.607 0.8913 -0.0024557 3.3045e-06 
2,4-dimethyl-3,3-diethylpentane 0.2487 0.2503 0.2857 210.496 0.7541 -0.0019785 2.6753e-06 
2,2-dimethyl-3,3-diethylpentane 0.2483 0.2501 0.2857 198.922 0.8065 -0.0020699 2.6894e-06 
4,4-dimethyl-3-ethylheptane 0.2464 0.2549 0.2857 197.56 0.884 -0.0023863 3.17e-06 
2,4-dimethyl-3-ethylheptane 0.2467 0.2585 0.2857 213.82 0.7958 -0.0021849 3.0203e-06 
3,4-dimethyl-3-ethylheptane 0.2464 0.2536 0.2857 202.677 0.845 -0.002242 2.9612e-06 
3,5-dimethyl-3-ethylheptane 0.2464 0.2589 0.2857 202.011 0.8502 -0.0022722 3.0128e-06 
2,6-dimethyl-3-ethylheptane 0.2467 0.2633 0.2857 214.104 0.7934 -0.0021863 3.0304e-06 
2,5-dimethyl-3-ethylheptane 0.2467 0.2606 0.2857 212.997 0.8019 -0.0022127 3.0657e-06 
2,3-dimethyl-3-ethylheptane 0.2464 0.2554 0.2857 200.396 0.8623 -0.0023087 3.0595e-06 
2,2-dimethyl-3-ethylheptane 0.2464 0.2579 0.2857 198.998 0.8731 -0.0023535 3.1277e-06 
2,4-dimethyl-3-isopropylhexane 0.2491 0.2595 0.2857 218.362 0.7281 -0.0020071 2.8599e-06 
2,2-dimethyl-3-isopropylhexane 0.2487 0.2615 0.2857 205.726 0.7898 -0.0021332 2.9206e-06 
2,3-dimethyl-3-isopropylhexane 0.2487 0.2543 0.2857 207.242 0.7781 -0.002075 2.8235e-06 
2,5-dimethyl-3-isopropylhexane 0.2491 0.2642 0.2857 217.542 0.734 -0.0020397 2.9183e-06 
3,5-dimethyl-4-ethylheptane 0.2467 0.2561 0.2857 213.942 0.795 -0.0021768 3.0039e-06 
2,3-dimethyl-4-ethylheptane 0.2467 0.2585 0.2857 213.82 0.7958 -0.0021849 3.0203e-06 
2,4-dimethyl-4-ethylheptane 0.2464 0.2594 0.2857 171.877 1.0774 -0.0028826 3.6088e-06 
2,5-dimethyl-4-ethylheptane 0.2467 0.2606 0.2857 212.386 0.8065 -0.0022301 3.0918e-06 
2,6-dimethyl-4-ethylheptane 0.2467 0.2652 0.2857 211.424 0.8136 -0.0022679 3.1568e-06 
3,3-dimethyl-4-ethylheptane 0.2464 0.2557 0.2857 200.508 0.8615 -0.0023061 3.0562e-06 
3,4-dimethyl-4-ethylheptane 0.2464 0.2595 0.2857 202.913 0.8434 -0.0022488 2.9802e-06 
2,2-dimethyl-4-ethylheptane 0.2464 0.2647 0.2857 196.903 0.8899 -0.0024298 3.2485e-06 
2,2-dimethyl-5-ethylheptane 0.2464 0.2651 0.2857 199.759 0.8678 -0.0023497 3.1339e-06 
2,3-dimethyl-5-ethylheptane 0.2467 0.261 0.2857 214.274 0.7922 -0.0021768 3.0122e-06 
2,4-dimethyl-5-ethylheptane 0.2467 0.2606 0.2857 212.997 0.8019 -0.0022127 3.0657e-06 
2,5-dimethyl-5-ethylheptane 0.2464 0.2607 0.2857 201.576 0.8536 -0.0022884 3.0388e-06 
3,3-dimethyl-5-ethylheptane 0.2464 0.2603 0.2857 199.474 0.8696 -0.002346 3.1208e-06 
3,4-dimethyl-5-ethylheptane 0.2467 0.2562 0.2857 214.536 0.7906 -0.0021602 2.979e-06 
4,4-dimethylnonane 0.2441 0.2617 0.2857 193.446 0.9477 -0.0025482 3.298e-06 
2,5-dimethylnonane 0.2444 0.2646 0.2857 209.19 0.8637 -0.0023707 3.1939e-06 
3,4-dimethylnonane 0.2444 0.2612 0.2857 211.329 0.8478 -0.0023036 3.0898e-06 
3,5-dimethylnonane 0.2444 0.2622 0.2857 208.72 0.8674 -0.0023789 3.2016e-06 
3,6-dimethylnonane 0.2444 0.2625 0.2857 210.093 0.857 -0.0023408 3.1465e-06 
