ch_Species Ap Bp Cp Dp Ep Ah nh
2,2,5,6-tetramethylheptane 24.559 -3229.7 -5.433 0 0 60.497 0.38 
2,3,4,4-tetramethylheptane 24.161 -3263 -5.2924 0 0 61.789 0.38 
2,2,5,5-tetramethylheptane 24.368 -3173.2 -5.3966 0 0 59.118 0.38 
2,4,5,5-tetramethylheptane 24.248 -3255.6 -5.3231 0 0 61.502 0.38 
2,2,4,6-tetramethylheptane 24.873 -3204.8 -5.5443 0 0 59.521 0.38 
2,3,3,6-tetramethylheptane 24.292 -3251.9 -5.3385 0 0 61.358 0.38 
3,3,4,4-tetramethylheptane 23.591 -3238.9 -5.122 0 0 61.663 0.38 
2,2,3,3-tetramethylheptane 23.757 -3224.2 -5.1806 0 0 61.097 0.38 
3,4,4,5-tetramethylheptane 23.865 -3289.2 -5.188 0 0 62.795 0.38 
2,2,3,6-tetramethylheptane 24.514 -3233.4 -5.417 0 0 60.64 0.38 
3,3,5,5-tetramethylheptane 23.757 -3224.2 -5.1806 0 0 61.097 0.38 
3,3,4,5-tetramethylheptane 24.033 -3274.2 -5.2472 0 0 62.22 0.38 
2,4,4,5-tetramethylheptane 24.336 -3248.2 -5.354 0 0 61.214 0.38 
2,2,3,5-tetramethylheptane 24.336 -3248.2 -5.354 0 0 61.214 0.38 
2,3,4,5-tetramethylheptane 24.44 -3313.4 -5.3596 0 0 62.929 0.38 
2,4,4,6-tetramethylheptane 24.789 -3211.4 -5.5144 0 0 59.779 0.38 
2,3,5,6-tetramethylheptane 24.616 -3298.3 -5.4217 0 0 62.345 0.38 
2,3,5,5-tetramethylheptane 24.424 -3240.8 -5.3854 0 0 60.927 0.38 
2,2,4,4-tetramethylheptane 24.188 -3187.7 -5.3331 0 0 59.683 0.38 
2,3,4,6-tetramethylheptane 24.66 -3294.5 -5.4375 0 0 62.199 0.38 
2,2,4,5-tetramethylheptane 24.559 -3229.7 -5.433 0 0 60.497 0.38 
2,3,4-trimethyl-3-ethylhexane 23.783 -3296.7 -5.1589 0 0 63.082 0.38 
2,2,5-trimethyl-3-ethylhexane 24.514 -3233.4 -5.417 0 0 60.64 0.38 
2,3,5-trimethyl-3-ethylhexane 24.248 -3255.6 -5.3231 0 0 61.502 0.38 
2,4,4-trimethyl-3-ethylhexane 24.161 -3263 -5.2924 0 0 61.789 0.38 
2,2,4-trimethyl-3-ethylhexane 24.292 -3251.9 -5.3385 0 0 61.358 0.38 
2,2,3-trimethyl-3-ethylhexane 23.757 -3224.2 -5.1806 0 0 61.097 0.38 
2,2,4-trimethyl-3-isopropylpentane 24.209 -3191.3 -5.3378 0 0 59.734 0.38 
2,3,4-trimethyl-3-isopropylpentane 23.529 -3250 -5.0977 0 0 61.999 0.38 
2,3,3-trimethyl-4-ethylhexane 38.0195 -4028.07 -9.9821 2.5685e-10 1.1602e-06 62.507 0.38 
2,2,5-trimethyl-4-ethylhexane 33.7267 -3651.55 -8.596 6.8898e-12 9.5866e-07 60.066 0.38 
2,3,4-trimethyl-4-ethylhexane 25.9496 -3327.74 -5.95 -1.0219e-10 3.8627e-07 62.076 0.38 
2,2,4-trimethyl-4-ethylhexane 19.2605 -2937.36 -3.7005 -2.5604e-10 -1.9643e-07 60.814 0.38 
